VOUT X,VOUT Y
0,2.671472335408332e-08
1e-06,2.672543696907076e-08
1.00025e-06,6.077045852940638e-06
1.000496680367798e-06,8.286992128545347e-05
1.000559595321824e-06,0.0001168497764849168
1.000643476206971e-06,0.0001948468781335305
1.000711788022521e-06,0.000398445086499917
1.000760791778229e-06,0.000680207667440631
1.000788323063149e-06,0.0008766103688876896
1.000818081410706e-06,0.001105055559227179
1.000848138862025e-06,0.001351189417510502
1.000882215017153e-06,0.001612154490973885
1.000914271831694e-06,0.001817953374634899
1.000952290143712e-06,0.002007341824499357
1.000976145071856e-06,0.002098874706742763
1.001e-06,0.002172816281016317
1.001015739145758e-06,0.002208601009067313
1.001033997935636e-06,0.002246762182216975
1.001051703319467e-06,0.002278063307412779
1.001087114087128e-06,0.002327028043227457
1.001150333396074e-06,0.002382147056359846
1.001220037960792e-06,0.002413040997912123
1.001300420096518e-06,0.002429443709040209
1.001392872038933e-06,0.002436990073685925
1.001511280986716e-06,0.002440158472878172
1.001669256790564e-06,0.00244106914689934
1.001899235110235e-06,0.002441177401972122
1.002266165437062e-06,0.002441159967694399
1.002977164144095e-06,0.00244116397152154
1.004399161558162e-06,0.00244116126815694
1.007243156386295e-06,0.002441163440949183
1.012931146042562e-06,0.002441161484895114
1.024307125355096e-06,0.00244116334142141
1.047059083980163e-06,0.002441161532420799
1.092563001230299e-06,0.002441163318122996
1.183570835730569e-06,0.00244116154392439
1.365586504731109e-06,0.002441163312392389
1.72961784273219e-06,0.002441161546777463
2e-06,0.002441163309948501
2.00025e-06,0.00245619181965759
2.000497407959929e-06,0.002648130917619809
2.000560231964938e-06,0.002732975413160479
2.000644053806408e-06,0.002929824711784209
2.000712537871997e-06,0.003448094357382009
2.000761280946262e-06,0.004154560039013825
2.000788649119546e-06,0.00464415666245467
2.00081828141536e-06,0.005216402324364904
2.000848599364816e-06,0.005839540698023199
2.000882505523397e-06,0.006488824000259187
2.000914428269577e-06,0.006999916511431454
2.000952581354932e-06,0.007472940913794264
2.000976290677466e-06,0.007698970863460217
2.001e-06,0.007881612962566828
2.00101569103797e-06,0.007968119937979015
2.001033887448535e-06,0.008060427298845485
2.001051537789795e-06,0.008136343994605553
2.001086838472313e-06,0.008255344516483876
2.001149962256e-06,0.008389781940309069
2.001219611766886e-06,0.008465118916625117
2.001299981599524e-06,0.008499620071453984
2.001392464543935e-06,0.008498572429112516
2.00150150115423e-06,0.008460005697726576
2.001567507992477e-06,0.008423608770582666
2.001620948493277e-06,0.008390531643542292
2.00168146946137e-06,0.008347232449468316
2.001740518645861e-06,0.008283416118313774
2.001806423899462e-06,0.008098245102530099
2.001853111219671e-06,0.007834740711659833
2.00189794413124e-06,0.007472821110572656
2.001943077083427e-06,0.007008921282581734
2.001971538541714e-06,0.006702234572820031
2.002e-06,0.00646524644717517
2.002011217161034e-06,0.006401634705541378
2.002029928579906e-06,0.006311010439020159
2.002047701226269e-06,0.006249067194420659
2.002078791645067e-06,0.006179595760452913
2.002111229041886e-06,0.006141268786448064
2.00214887425164e-06,0.006119131679196977
2.002190965312974e-06,0.006107932806501162
2.002244497260036e-06,0.006102032788252137
2.002314347528476e-06,0.006099358738756149
2.002411358049947e-06,0.006098312110825118
2.002532101520007e-06,0.006098047172840548
2.00269720507964e-06,0.006097994437948604
2.002944838449593e-06,0.00609799500389994
2.003405529301263e-06,0.006097994840621354
2.004326911004601e-06,0.006097995047722981
2.006169674411279e-06,0.006097994865689062
2.009855201224634e-06,0.006097995036126215
2.017226254851343e-06,0.006097994871319423
2.031968362104762e-06,0.00609799503336793
2.061452576611601e-06,0.006097994872688165
2.120421005625277e-06,0.00609799503268804
2.23835786365263e-06,0.006097994873027934
2.474231579707336e-06,0.006097995032518555
2.737115789853668e-06,0.006097994873145929
3e-06,0.006097995032419051
3.00025e-06,0.006104020083435029
3.000497407959929e-06,0.006180937871943072
3.000560231964938e-06,0.006214953531903134
3.000644053643765e-06,0.006293842754594325
3.000712537666332e-06,0.006501386789211255
3.00076128884134e-06,0.006784349640525634
3.000788654209365e-06,0.006980419039971346
3.000818286494707e-06,0.007209556845897128
3.000848607884923e-06,0.00745913488172766
3.000882515116148e-06,0.007719303952257047
3.000914465308472e-06,0.007924410449433402
3.000952636020917e-06,0.008114299357269168
3.000976318010459e-06,0.008204974633482624
3.001e-06,0.00827831595259754
3.001015681990755e-06,0.008313983935519752
3.001033866675412e-06,0.008352018376712076
3.001051506668692e-06,0.008383249829428797
3.001086786655253e-06,0.008432159847974409
3.001149951829826e-06,0.008487461499686384
3.001219627242801e-06,0.008518525548079811
3.001300030543952e-06,0.008535060852538301
3.001392529091933e-06,0.00854268512949148
3.001511070387371e-06,0.008545895259443312
3.001669320218761e-06,0.008546820829780959
3.001899939153746e-06,0.008546931485825564
3.002268422599352e-06,0.008546913832404846
3.002984399784756e-06,0.008546917975360844
3.004416354155565e-06,0.008546915184742815
3.007280262897181e-06,0.008546917430350036
3.013008080380415e-06,0.008546915407714507
3.024463715346881e-06,0.008546917327919424
3.047374985279815e-06,0.008546915456637473
3.093197525145682e-06,0.008546917303933681
3.184842604877416e-06,0.008546915468481513
3.368132764340883e-06,0.008546917298033528
3.734713083267818e-06,0.008546915471418661
4e-06,0.008546917295481356
4.00025e-06,0.008578304815136552
4.000497407959928e-06,0.008979533069936711
4.000560231964937e-06,0.009157331564901726
4.000644055789432e-06,0.00957125475148924
4.000712542866555e-06,0.01066214793210535
4.000761240427051e-06,0.01214603694274411
4.000788601028556e-06,0.01317483243601057
