0	0.0404033436
0.011	0.0404033436
0.012	0.0405358476
0.023	0.0405358476
0.024	0.0406820948
0.035	0.0406820948
0.036	0.0408466863
0.047	0.0408466863
0.048	0.0410370886
0.059	0.0410370886
0.06	0.0412668297
0.071	0.0412668297
0.072	0.0415650182
0.083	0.0415650182
0.084	0.0420188779
0.095	0.0420188779
0.096	0.0433582152
0.107	0.0433582152
0.108	0.0623609173
0.119	0.0623609173
0.12	0.1132222534
0.131	0.1132222534
0.132	0.189963064
0.143	0.189963064
0.144	0.2768837299
0.155	0.2768837299
0.156	0.3667555142
0.167	0.3667555142
0.168	0.4570584464
0.179	0.4570584464
0.18	0.5472882359
0.191	0.5472882359
0.192	0.6373652314
0.203	0.6373652314
0.204	0.7272677499
0.215	0.7272677499
0.216	0.816985788
0.227	0.816985788
0.228	0.9065128624
0.239	0.9065128624
0.24	0.9958440557
0.251	0.9958440557
0.252	1.0849742944
0.263	1.0849742944
0.264	1.1738960272
0.275	1.1738960272
0.276	1.262613073
0.287	1.262613073
0.288	1.351119954
0.299	1.351119954
0.3	1.4394111674
0.311	1.4394111674
0.312	1.5274806102
0.323	1.5274806102
0.324	1.615324415
0.335	1.615324415
0.336	1.7029351431
0.347	1.7029351431
0.348	1.7903031783
0.359	1.7903031783
0.36	1.8774237604
0.371	1.8774237604
0.372	1.964290665
0.383	1.964290665
0.384	2.0508995593
0.395	2.0508995593
0.396	2.1372459517
0.407	2.1372459517
0.408	2.2233330277
0.419	2.2233330277
0.42	2.3091539563
0.431	2.3091539563
0.432	2.3947050631
0.443	2.3947050631
0.444	2.4799818878
0.455	2.4799818878
0.456	2.5649804738
0.467	2.5649804738
0.468	2.6496965533
0.479	2.6496965533
0.48	2.7341250636
0.491	2.7341250636
0.492	2.8182573558
0.503	2.8182573558
0.504	2.9020850028
0.515	2.9020850028
0.516	2.9855441421
0.527	2.9855441421
0.528	3.068284281
0.539	3.068284281
0.54	3.1491861688
0.551	3.1491861688
0.552	3.226481473
0.563	3.226481473
0.564	3.2746164935
0.575	3.2746164935
0.576	3.2745365736
0.587	3.2745365736
0.588	3.2745365736
0.599	3.2745365736
